insular, insular, +
 reduce, reduce, +
 diminish, diminish, +
 curtail, curtail, +
 indent, indent, +
 subtraction, subtraction, +
 erratic, erratic, +
 stable, stable, +
 unstable, unstable, +
 steady, steady, +
 steadily, steadily, +
 poise, poise, +
 ascent, ascent, +
 descent, descent, +
 extend, extend, +
 extension, extension, +
 hike, hike, +
 hoist, hoist, +
 stretch, stretch, +
 transform, transform, +
 deform, deform, +
 elevate, elevate, +
 sharpen, sharpen, +
 enhance, enhance, +
 abate, abate, +
 accumulate, accumulate, +
 amplify, amplify, +
 amplification, amplification, +
 stuffy, stuffy, +
 tilted, tilted, +
 regularly, regularly, +
 coil, coil, +
 slope, slope, +
 slant, slant, +
 protrude, protrude, +
 rotate, rotate, +
 roll, roll, +
 dangle, dangle, +
 project, project, +
 encompass, encompass, +
 active, active, +
 hump, hump, +
 tower, tower, +
 spin, spin, +
 concave, concave, +
 convex, convex, +
 pitch, pitch, +
 glamor, glamor, +
 glamorous, glamorous, +
 catching, catching, +
 engross, engross, +
 engrossed, engrossed, +
 attractive, attractive, +
 conspicuous, conspicuous, +
 inviting, inviting, +
 bait, bait, +
 charisma, charisma, +
 draw, draw, +
 enrapture, enrapture, +
 induce, induce, +
 intoxicate, intoxicate, +
 lure, lure, +
 entice, entice, +
 tempt, tempt, +
 addict, addict, +
 addicted, addicted, +
 absorb, absorb, +
 absorbing, absorbing, +
 delicate, delicate, +
 pitiful, pitiful, +
 fragile, fragile, +
 emaciate, emaciate, +
 emaciated, emaciated, +
 flimsy, flimsy, +
 fragmentary, fragmentary, +
 frail, frail, +
 brittle, brittle, +
 slender, slender, +
 impotence, impotence, +
 limp, limp, +
 cryptic, cryptic, +
 secluded, secluded, +
 seclusion, seclusion, +
 dissemble, dissemble, +
 lurk, lurk, +
 sneak, sneak, +
 conceal, conceal, +
 feign, feign, +
 pretend, pretend, +
 simulate, simulate, +
 hide, hide, +
 obscure, obscure, +
 screen, screen, +
 
