⊙ 词汇	♠释义	例句	=► 词根词缀
⊙ tomb	♠n. 坟墓, 塚		=►  源于希腊语“tymbos”（表“坟墓”），无明确现代英语前缀/后缀拆分，词性：名词，含义：坟墓、陵墓
⊙ hell	♠n. 地狱; 苦境		=►  源于古英语“hel”，无明确现代英语前缀/后缀拆分，词性：名词，含义：地狱、苦难之地
⊙ maritime	♠adj. 海的, 海上的, 海事的		=►  mar-（词根，源于拉丁语“mare”，表“海洋”）+ -itime（后缀，表“与……相关的”），词性：形容词，含义：海事的、海上的
⊙ naval	♠adj. 海军的		=►  nav-（词根，源于拉丁语“navis”，表“船”）+ -al（后缀，表“与……相关的”），词性：形容词，含义：海军的、船舶的
⊙ fleet	♠n. 舰队, 船队; 机群, 车队		=►  源于古英语“fleotan”（表“漂浮”，引申为“船队”），无明确现代英语前缀/后缀拆分，词性：名词/形容词/动词，含义：船队、舰队；快速的；疾驰
⊙ troop	♠n. 一群, 一队; 军队 v. 结队前行		=►  源于法语“troupe”（表“人群、队伍”），无明确现代英语前缀/后缀拆分，词性：名词/动词，含义：军队、部队；成群移动
⊙ landing	♠n. 着陆; 登陆		=►  land（动词，表“着陆、登陆”）+ -ing（后缀，表“动作、结果”），词性：名词，含义：着陆、登陆；楼梯平台
⊙ hover	♠v. 盘旋, 悬浮; 徘徊; 处于不确定状态		=►  源于古英语“hofian”（表“停留、等待”），无明确现代英语前缀/后缀拆分，词性：动词/名词，含义：盘旋、徘徊；盘旋
⊙ proceed	♠v. 接下来做; 继续进行; 行进		=►  pro-（前缀，表“向前”）+ ceed（词根，源于拉丁语“cedere”，表“走”），词性：动词，含义：继续、前进
⊙ progress	♠n. 前进; 进步; 进程 v. 前进; 进步		=►  pro-（前缀，表“向前”）+ gress（词根，源于拉丁语“gradus”，表“走、步”，变体为“gress”），词性：名词/动词，含义：进步、进展；前进、进步
⊙ military	♠adj. 军事的, 军用的		=►  milit-（词根，源于拉丁语“miles”，表“士兵”，复数“milites”）+ -ary（后缀，表“与……相关的”），词性：形容词/名词，含义：军事的、军队的；军队
⊙ nuclear	♠adj. 原子核的; 核能的; 核武器的		=►  nucle-（词根，源于拉丁语“nucleus”，表“核心、核”）+ -ar（后缀，表“与……相关的”），词性：形容词，含义：核的、原子核的
⊙ poison	♠n. 毒物, 毒药 v. 毒害		=►  源于拉丁语“potio”（表“饮料、毒药”，因古代毒药常混入饮料），无明确现代英语前缀/后缀拆分，词性：名词/动词，含义：毒药；下毒
⊙ devastate	♠v. 毁坏, 摧毁		=►  de-（前缀，表“完全、向下”）+ vast-（词根，源于拉丁语“vastus”，表“空的、荒凉的”）+ -ate（后缀，表“使……”），词性：动词，含义：摧毁、使荒芜
⊙ risk	♠n. 危险, 风险 v. 冒着…的危险		=►  源于意大利语“rischio”，无明确现代英语前缀/后缀拆分，词性：名词/动词，含义：风险、危险；冒险
⊙ adventure	♠n. 冒险, 冒险经历 v. 去(某地)探险		=►  ad-（前缀，表“朝向、加强”）+ vent-（词根，源于拉丁语“venire”，表“来”）+ -ure（后缀，表“行为、结果”，字面义“到来的意外事件”），词性：名词/动词，含义：冒险、奇遇；冒险
⊙ peril	♠n. 重大危险; 险情, 危险		=►  源于拉丁语“periculum”（表“危险”），无明确现代英语前缀/后缀拆分，词性：名词/动词，含义：危险；使陷入危险
⊙ catastrophe	♠n. 重大灾难, 大祸		=►  cata-（前缀，表“向下、完全”）+ strophe（词根，源于希腊语“strephein”，表“转动”，原指“戏剧的结局转折”，后引申为“灾难”），词性：名词，含义：大灾难、灾祸
⊙ collapse	♠n. v. 倒塌; 崩溃		=►  col-（前缀，表“一起、完全”，同“com-”的变体）+ lapse（词根，源于拉丁语“lapsus”，表“滑落、跌倒”），词性：动词/名词，含义：倒塌、崩溃
⊙ torture	♠n. 拷问; 痛苦, 折磨 v. 拷问; 使痛苦		=►  tort-（词根，源于拉丁语“torquere”，表“扭曲”）+ -ure（后缀，表“行为、结果”，字面义“扭曲身体的行为”），词性：名词/动词，含义：酷刑、折磨；折磨
⊙ humiliate	♠v. 羞辱, 使蒙羞		=►  humili-（词根，源于拉丁语“humilis”，表“低的、卑微的”，“humus”表“泥土”）+ -ate（后缀，表“使……”），词性：动词，含义：羞辱、使蒙羞
⊙ damage	♠n. v. 损害; 伤害		=►  源于拉丁语“damnum”（表“损失、伤害”），无明确现代英语前缀/后缀拆分，词性：名词/动词，含义：损害、损失；损害
⊙ harmful	♠adj. 有害的		=►  harm（名词，表“伤害”，源于古英语“hearm”）+ -ful（后缀，表“充满……的”），词性：形容词，含义：有害的
⊙ mislead	♠v. 误导, 欺骗, 使误入歧途		=►  mis-（前缀，表“错误地”）+ lead（动词，表“引导”），词性：动词，含义：误导、引入歧途
⊙ disturb	♠v. 打扰; 使焦虑; 弄乱		=►  dis-（前缀，表“分开、扰乱”）+ turb（词根，表“搅动、混乱”，同“turbulent”的“turb-”），词性：动词，含义：打扰、扰乱
⊙ interfere	♠v. 干涉; 防碍		=►  inter-（前缀，表“在……之间”）+ fere（词根，源于拉丁语“ferre”，表“带来、携带”，字面义“在中间带来阻碍”），词性：动词，含义：干涉、干扰
⊙ interrupt	♠v. 打断; 中断; 插嘴		=►  inter-（前缀，表“在……之间”）+ rupt（词根，源于拉丁语“rumpere”，表“打破”，字面义“在中间打破”），词性：动词/名词，含义：打断、中断；中断
⊙ retreat	♠n. v. 撤退; 退避		=►  re-（前缀，表“回、向后”）+ treat（词根，源于拉丁语“trahere”，表“拉、拖”，字面义“向后拉”），词性：动词/名词，含义：撤退、退缩；撤退
⊙ shrink	♠v. 退缩; 收缩, 缩水; 使减少		=►  源于古英语“scrincan”，无明确现代英语前缀/后缀拆分，词性：动词/名词，含义：收缩、退缩；收缩
⊙ withdraw	♠v. 收回; 撤退; 提款		=►  with-（前缀，表“向后、相反”）+ draw（动词，表“拉、拖”，字面义“向后拉”），词性：动词，含义：撤回、退出
⊙ withstand	♠v. 承受, 顶住, 经受住		=►  with-（前缀，表“对抗、相反”）+ stand（动词，表“站立”，字面义“对抗着站立”），词性：动词，含义：承受、抵抗
⊙ compromise	♠v. 妥协		=►  com-（前缀，表“共同”）+ promise（名词，表“承诺”，“pro-”表“向前”+“mise”表“发送”，字面义“共同做出承诺”，后引申为“妥协”），词性：名词/动词，含义：妥协、折中；妥协
⊙ surrender	♠v. n. 投降; 放弃		=►  sur-（前缀，表“在上、完全”）+ render（动词，表“给予、交出”，“re-”表“回”+“nder”表“给予”，字面义“完全交出”），词性：动词/名词，含义：投降、放弃
⊙ escape	♠n. v. 逃跑; 逃脱; 逃避		=►  e-（前缀，表“出、外”）+ scape（词根，源于拉丁语“excapere”，表“逃出、避免”，“capere”表“抓住”），词性：动词/名词，含义：逃跑、逃避
⊙ avoid	♠v. 避免; 躲开		=►  a-（前缀，表“离开、不”，同“ab-”的变体）+ void（词根，源于拉丁语“videre”，表“看见”，变体为“void”，字面义“看见后离开”），词性：动词，含义：避免、避开
⊙ quit	♠v. 放弃, 停止; 辞去; 离开		=►  （源自古英语“cwitan”，表“离开、放弃”，属原生词，无典型词缀），可作动词（退出、放弃）或形容词（摆脱的）。
⊙ abandon	♠v. 放弃; 抛弃, 丢弃		=►  a-（加强语气，无实义）+ bandon（源于拉丁语“bannum”，表“命令、禁令”，原指“解除禁令”，后引申为“放弃约束”），无额外后缀，动词，表“抛弃、放弃”。
⊙ forgo	♠v. 放弃		=►  for-（表“放弃、避开”，同“fore-”变体）+ go（表“走、进行”），属复合词，无典型词缀，动词，表“放弃、克制”。
⊙ discard	♠v. 丢弃, 抛弃		=►  dis-（表“离开、去除”）+ card（源于拉丁语“charta”，表“纸张”，原指“丢弃无用的卡片”），无额外后缀，动词，表“丢弃、抛弃”。
⊙ rid	♠adj. 摆脱, 丢弃		=►  （源自古英语“rīdan”，表“使摆脱”，属原生词，无典型词缀），动词，表“使摆脱、去除”。
⊙ defend	♠v. 防御, 保护; 为…辩护		=►  de-（表“向下、加强”，此处表“保护”）+ fend（源于拉丁语“fendere”，表“打击、抵抗”），无额外后缀，动词，表“保卫、防御”。
⊙ safeguard	♠v. 保卫, 保护 n. 保护措施		=►  safe（表“安全的”）+ guard（表“守卫、防护”），属复合词，无典型词缀，可作名词（防护措施）或动词（保护）。
⊙ defeat	♠v. 击败; 战胜 n. 失败		=►  de-（表“向下、完全”）+ feat（源于拉丁语“facere”，表“做、完成”，原指“完全挫败对方的行动”），无额外后缀，可作动词（击败）或名词（失败）。
⊙ resist	♠v. 抵制, 反对; 抵御; 忍住		=►  re-（表“反对、回”）+ sist（源于拉丁语“sistere”，表“站立、支撑”，字面“站在对面抵抗”），无额外后缀，动词，表“抵抗、忍住”。
⊙ capture	♠n. 战利品 v. 捕获; 夺得		=►  capt-（源于拉丁语“capere”，表“抓住、捕获”）+ -ure（名词后缀，表“行为或结果”），可作名词（捕获）或动词（抓获）。
⊙ victory	♠n. 胜利; 成功		=►  vict-（源于拉丁语“vicere”，表“征服、胜利”，过去分词“victus”）+ -ory（名词后缀，表“行为结果”），名词，表“胜利、成功”。
⊙ triumph	♠n. 伟大胜利, 非凡的成功 v. 获得胜利		=►  （源于拉丁语“triumphus”，表“凯旋、胜利”，属外来借词，无典型词缀），可作名词（胜利）或动词（获胜）。
⊙ conquer	♠v. 征服; 克服, 战胜		=►  con-（表“完全、共同”）+ quer（源于拉丁语“quarere”，表“寻求、获取”，原指“完全获取对方土地”），无额外后缀，动词，表“征服、攻克”。
⊙ monument	♠n. 纪念碑; 历史遗迹; 丰碑		=►  monu-（源于拉丁语“monere”，表“提醒、纪念”）+ -ment（名词后缀，表“物品或行为”），名词，表“纪念碑、遗迹”。
⊙ tablet	♠n. 碑, 匾; 药片		=►  table（表“桌子、平板”）+ -et（指小后缀，表“小的”），字面“小平板”，名词，表“药片、平板设备”。
⊙ statue	♠n. 雕塑, 塑像		=►  stat-（源于拉丁语“stare”，表“站立”，过去分词“status”）+ -ue（名词后缀，表“物品”），名词，表“雕像、塑像”。
⊙ medal	♠n. 奖章; 勋章		=►  （源于意大利语“medaglia”，表“小徽章”，属外来借词，无典型词缀），名词，表“奖章、勋章”。
⊙ honour	♠n. 尊敬, 敬意; 荣誉 v. 尊敬; 给予表扬		=►  hon-（源于拉丁语“honos”，表“荣誉、尊敬”）+ -our（名词后缀，表“状态或品质”，美式拼写“honor”），可作名词（荣誉）或动词（尊敬）。
⊙ glorious	♠adj. 光荣的, 荣耀的		=►  glori-（源于拉丁语“gloria”，表“光荣、荣耀”）+ -ous（形容词后缀，表“充满……的”），形容词，表“光荣的、辉煌的”。
⊙ contribute	♠v. 捐献; 作贡献; 撰稿		=►  con-（表“共同、一起”）+ tribut-（源于拉丁语“tribuere”，表“分配、给予”）+ -e（动词后缀，无实义），动词，表“贡献、捐赠”。
⊙ devote	♠v. 奉献; 投入		=►  de-（表“完全、加强”）+ vote（源于拉丁语“votum”，表“誓言、承诺”，原指“完全投入誓言”），无额外后缀，动词，表“致力于、奉献”。
⊙ owe	♠v. 欠; 应把…归功于; 欠(情), 感激		=►  （源自古英语“āgan”，表“拥有、欠”，属原生词，无典型词缀），动词，表“欠、应归功于”。
⊙ patrol	♠n. v. 巡逻, 巡查		=►  （源于法语“patrouille”，表“巡逻队”，属外来借词，无典型词缀），可作动词（巡逻）或名词（巡逻）。
⊙ guard	♠n. 卫兵, 警卫员 v. 看守; 守卫, 保卫		=►  （源自古法语“garder”，表“守卫、看管”，属外来借词，无典型词缀），可作动词（守卫）或名词（守卫者）。
⊙ camouflage	♠v. n. 伪装		=►  （源于法语“camoufler”，表“伪装”，属外来借词，无典型词缀），可作动词（伪装）或名词（伪装）。
⊙ obstacle	♠n. 障碍; 障碍物		=►  ob-（表“反对、阻碍”）+ stacle（源于拉丁语“stare”，表“站立”，字面“站在前面的阻碍物”），名词，表“障碍、阻碍”。
⊙ burrow	♠n. 地洞, 地道 v. 掘地洞		=►  （源自古英语“burra”，表“洞穴”，属原生词，无典型词缀），可作动词（挖洞）或名词（洞穴）。
⊙ spy	♠n. 间谍, 特务 v. 搜集情报, 从事间谍活动		=►  （源自古法语“espier”，表“窥探”，属外来借词，无典型词缀），可作动词（间谍活动）或名词（间谍）。
⊙ scout	♠n. 侦察员, 侦察机 v. 侦察, 搜寻		=►  （源于古法语“escouter”，表“倾听、侦察”，属外来借词，无典型词缀），可作动词（侦察）或名词（侦察员）。
⊙ general	♠n. 将军 adj. 总的; 一般性的		=►  gener-（源于拉丁语“genus”，表“种类、全体”）+ -al（形容词/名词后缀，表“与……相关的；人”），可作形容词（普遍的）或名词（将军）。
⊙ soldier	♠n. 士兵, 战士		=►  sold-（源于拉丁语“solidus”，表“金币”，原指“拿军饷的人”）+ -ier（名词后缀，表“人”），名词，表“士兵、军人”。
⊙ veteran	♠n. 老兵; 老手		=►  veter-（源于拉丁语“veteranus”，表“年老的、有经验的”）+ -an（形容词/名词后缀，表“……的；人”），可作形容词（资深的）或名词（老兵）。
⊙ Chapter-19 社会角色	♠		=►
⊙ 单词	♠解释		=►
⊙ pioneer	♠n. 先驱, 开创者		=►  pione-（源于法语“pionnier”，表“步兵、开拓者”）+ -er（名词后缀，表“人”，此处与法语词尾合并），名词，表“开拓者、先驱”。
⊙ prophet	♠n. 预言家; 先知		=►  pro-（表“向前、预先”）+ phet（源于希腊语“phētes”，表“宣布者”，字面“预先宣布的人”），名词，表“先知、预言家”。
⊙ herald	♠n. 使者, 传令官; 先驱, 预兆 v. 预告; 宣布		=►  （源自古法语“heraut”，表“传令官”，属外来借词，无典型词缀），可作动词（预示）或名词（传令官）。
⊙ heir	♠n. 后嗣; 继承人		=►  （源于拉丁语“heres”，表“继承人”，属外来借词，无典型词缀），名词，表“继承人、继承者”。
⊙ successor	♠n. 接替者, 继任者; 后继的事物		=►  success-（源于拉丁语“succedere”，表“跟随、继承”，“sub-”表“下”+“cedere”表“走”）+ -or（名词后缀，表“人”），名词，表“继承者、接班人”。
⊙ generation	♠n. 一代人; 一代		=►  gener-（源于拉丁语“generare”，表“产生、生育”）+ -ation（名词后缀，表“行为或结果”），名词，表“一代、世代”。
⊙ surname	♠n. 姓 v. 给…起别人		=►  sur-（表“在……之上、附加”）+ name（表“名字”），属复合词，无典型词缀，名词，表“姓氏”。
⊙ gender	♠n. 性别		=►  （源于拉丁语“genus”，表“种类、性”，属外来借词，无典型词缀），名词，表“性别、性”。
⊙ sex	♠n. 性别; 性行为		=►  （源于拉丁语“sexus”，表“性、性别”，属外来借词，无典型词缀），名词，表“性、性别”。
⊙ female	♠n. 女子; 雌性生物 adj. 女的; 雌性的		=►  fem-（源于拉丁语“femina”，表“女人”）+ -ale（形容词/名词后缀，表“与……相关的；人”），可作形容词（女性的）或名词（女性）。
⊙ couple	♠n. 夫妻, 情侣; 两个; 几个		=►  （源于拉丁语“copula”，表“连接、结合”，属外来借词，无典型词缀），可作名词（夫妻、一对）或动词（结合）。
⊙ spouse	♠n. 配偶, 夫或妻		=►  （源于拉丁语“sponsus”，表“配偶”，属外来借词，无典型词缀），名词，表“配偶”。
⊙ husband	♠n. 丈夫		=►  hus-（源自古英语“hus”，表“房子”）+ -band（源自古诺尔斯语“bondi”，表“所有者、农夫”，字面“房子的所有者”），名词，表“丈夫”。
⊙ gay	♠n. 同性恋者 adj. 同性恋的; 快乐的; 艳丽的		=►  （源自古法语“gai”，表“快乐的”，属外来借词，无典型词缀），可作形容词（同性恋的；快乐的）或名词（同性恋者）。
⊙ grandfather	♠n. 祖父		=►  grand-（表“隔代的、祖父辈的”）+ father（表“父亲”），属复合词，无典型词缀，名词，表“祖父、外祖父”。
⊙ father-in-law	♠n. 岳父; 公公		=►  father（表“父亲”）+ -in-law（表“法律上的亲属关系”，后缀），属复合词，名词，表“岳父、公公”。
⊙ sibling	♠n. 兄; 弟; 姐; 妹		=►  （源自古英语“sibling”，表“兄弟姐妹”，属原生词，无典型词缀），名词，表“兄弟姐妹”。
⊙ cousin	♠n. 堂(或表)兄(弟姐妹)		=►  （源于拉丁语“consobrinus”，表“表亲”，属外来借词，无典型词缀），名词，表“堂（表）兄弟姐妹”。
⊙ nephew	♠n. 侄子; 外甥		=►  （源于拉丁语“nepos”，表“侄子、外甥”，属外来借词，无典型词缀），名词，表“侄子、外甥”。
⊙ niece	♠n. 侄女; 外甥女		=►  （源于拉丁语“neptis”，表“侄女、外甥女”，属外来借词，无典型词缀），名词，表“侄女、外甥女”。
⊙ twin	♠adj. 成双的 adj. 双胞胎之一		=►  （源自古英语“twinn”，表“双胞胎”，属原生词，无典型词缀），可作名词（双胞胎）或形容词（成对的）。
⊙ embryo	♠n. 胚胎 adj. 胚胎的; 初期的		=►  （源于希腊语“embryon”，表“胚胎”，属外来借词，无典型词缀），名词，表“胚胎、萌芽”。
⊙ infant	♠n. 婴儿 adj. 供婴儿用的; 婴儿的		=►  in-（表“不、无”）+ fant（源于拉丁语“fari”，表“说话”，字面“不会说话的人”），名词，表“婴儿、幼儿”。
⊙ orphan	♠n. 孤儿 v. 使成为孤儿		=►  （源于希腊语“orphanos”，表“孤儿”，属外来借词，无典型词缀），可作名词（孤儿）或动词（使成为孤儿）。
⊙ juvenile	♠adj. 少年的 n. 少年		=►  juven-（源于拉丁语“juvenis”，表“年轻的”）+ -ile（形容词/名词后缀，表“……的；人”），可作形容词（青少年的）或名词（青少年）。
⊙ youngster	♠n. 年轻人; 少年		=►  young（表“年轻的”）+ -ster（名词后缀，表“人”，常指年轻群体），名词，表“年轻人、少年”。
⊙ youth	♠n. 青年时期; 青春; 青年		=►  （源自古英语“geolu”，表“年轻”，属原生词，无典型词缀），名词，表“青春、年轻人”。
⊙ gang	♠n. 一帮, 一伙		=►  （源自古英语“gang”，表“一群、团伙”，属原生词，无典型词缀），名词，表“帮派、团伙”。
⊙ teenage	♠adj. 青少年		=►  teen（表“十几岁”，即“13-19岁”）+ -age（名词/形容词后缀，表“年龄段；……的”），可作形容词（青少年的）或名词（青少年时期）。
⊙ adolescence	♠n. 青春期		=►  adolesc-（源于拉丁语“adolescere”，表“成长、青春期”，“ad-”表“加强”+“olescere”表“成长”）+ -ence（名词后缀，表“状态”），名词，表“青春期”。
⊙ kin	♠n. 亲属, 亲戚 adj. 有血缘关系的; 类似的		=►  （源自古英语“cynn”，表“亲属、家族”，属原生词，无典型词缀），名词，表“亲属、家人”。
⊙ folk	♠n. 人们; 家属, 亲属		=►  （源自古英语“folc”，表“人们、民众”，属原生词，无典型词缀），名词（复数），表“人们、乡亲”。
⊙ relative	♠n. 亲戚 adj. 相对的, 有关的		=►  relat-（源于拉丁语“relatus”，表“相关的”，“re-”表“回”+“ferre”表“携带”）+ -ive（形容词/名词后缀，表“……的；人”），可作形容词（相关的）或名词（亲属）。
⊙ intimate	♠adj. 亲密的; 个人隐私的 n. 密友, 至交		=►  in-（表“进入、内心”）+ tim-（源于拉丁语“timens”，表“害怕的”，原指“内心不设防的”）+ -ate（形容词/动词后缀，表“……的；使成为”），可作形容词（亲密的）或动词（暗示）。
⊙ dear	♠adj. 亲爱的 int. 啊呀		=►  （源自古英语“deore”，表“珍贵的、亲爱的”，属原生词，无典型词缀），可作形容词（亲爱的）或副词（高价地）。
⊙ darling	♠n. 亲爱的; 宠儿		=►  darl-（源自古英语“deorling”，“deor”表“珍贵的”+“-ling”表“小的”）+ -ing（名词后缀，表“人或物”），名词，表“亲爱的人、宝贝”。
⊙ lover	♠n. 爱好者; 情人		=►  love（表“爱、喜爱”）+ -er（名词后缀，表“人”），名词，表“爱人、爱好者”。
⊙ beloved	♠n. 爱人 adj. 深受喜爱的		=►  be-（加强语气，无实义）+ loved（“love”的过去分词，表“被爱的”），可作形容词（深爱的）或名词（爱人）。
⊙ madam	♠n. 女士, 夫人		=►  （源于法语“madame”，“ma”表“我的”+“dame”表“女士”，属外来借词，无典型词缀），名词，表“夫人、女士”。
⊙ hostess	♠n. 女主人		=►  host（表“主人、主持人”）+ -ess（名词后缀，表“女性”），名词，表“女主人、女主持人”。
⊙ landlady	♠n. 女房东; 女地主		=►  land（表“土地、房产”）+ lady（表“女士”），属复合词，无典型词缀，名词，表“女房东、女地主”。
⊙ mistress	♠n. 女主人, 主妇; 情妇		=►  mis-（表“否定、相反”，此处无实义，仅为词形前缀）+ tress（源于拉丁语“domina”，表“女主人”，属变形词），名词，表“女主人、情妇”。
⊙ housewife	♠n. 家庭主妇		=►  house（表“房子、家庭”）+ wife（表“妻子”），属复合词，无典型词缀，名词，表“家庭主妇”。
⊙ widow	♠n. 寡妇, 遗孀		=►  （源自古英语“widewe”，表“寡妇”，属原生词，无典型词缀），名词，表“寡妇”。
⊙ maid	♠n. 女佣, 女仆; 少女		=►  （源自古英语“mægden”，表“少女、女仆”，属原生词，无典型词缀），名词，表“女仆、少女”。
⊙ maiden	♠n. 少女, 姑娘		=►  无明确复杂词根拆分，源自古英语“mægden”，核心含义为“少女、未婚女子”，可视为独立词汇基础形式，后可通过添加后缀构成派生词汇（如“maidenhood”，-hood表“状态”，指“少女时期”），本身无前置前缀，-en 非独立后缀，而是词汇原生词尾，辅助构成名词/形容词词性（表“少女的、未婚的”）。
⊙ household	♠n. 家庭, 一户; 家务		=►  由 house（名词词根，表“房屋、家庭”，源自古英语“hus”）+ hold（动词/名词词根，表“持有、容纳”，源自古英语“haldan”）构成复合词，无前缀/后缀，字面含义“容纳家庭的（空间/成员）”，指“家庭、 household 家庭的”，可作名词或形容词。
⊙ chore	♠n. 家庭杂务; 锁事; 乏味无聊的工作		=►  （源自古法语“chore”，表“零星工作”，属外来借词，无典型词缀），名词，表“家务杂事、日常琐事”。
⊙ host	♠n. 主人, 东道主		=►  （源于拉丁语“hospes”，表“客人、主人”，属外来借词，无典型词缀），可作名词（主人、主持人）或动词（主持、招待）。
⊙ landlord	♠n. 地主; 房东; 店主		=►  land（表“土地、房产”）+ lord（表“领主、主人”），属复合词，无典型词缀，名词，表“房东、地主”。
⊙ tenant	♠n. 房客; 租房		=►  （源于拉丁语“tenere”，表“持有、占据”，属外来借词，无典型词缀），名词，表“租户、房客”。
⊙ guest	♠n. 客人, 宾客; 旅客		=►  （源自古英语“gest”，表“客人”，属原生词，无典型词缀），名词，表“客人、宾客”。
⊙ customer	♠n. 顾客, 主顾, 客户		=►  custom（表“习惯、习俗；顾客”，源于拉丁语“consuetudo”）+ -er（名词后缀，表“人”），名词，表“顾客、消费者”。
⊙ client	♠n. 顾客, 客户; 委托人		=►  （源于拉丁语“cliens”，表“依附者、客户”，属外来借词，无典型词缀），名词，表“客户、顾客（尤指专业服务对象）”。
⊙ encounter	♠v. n. 遭遇; 偶遇; 邂逅		=►  en-（表“使……处于”）+ counter（表“对立、相反”），字面“使处于对立状态”，可作动词（遭遇、邂逅）或名词（相遇、冲突）。
⊙ chase	♠v. n. 追逐; 追求		=►  （源自古法语“chacier”，表“追逐、追赶”，属外来借词，无典型词缀），可作动词（追逐）或名词（追捕）。
⊙ miss	♠v. 相念; 未注意到		=►  （源自古英语“missan”，表“错过、丢失”，属原生词，无典型词缀），可作动词（错过、想念）或名词（小姐；失误）。
⊙ appointment	♠n. 约会; 预约; 指派		=►  appoint（动词，表“任命、约定”，“ap-”=ad-表“加强”+“point”表“指向、指定”）+ -ment（名词后缀，表“行为或结果”），名词，表“约会、任命”。
⊙ accompany	♠v. 陪伴; 伴随		=►  ac-（=ad-表“伴随、一起”）+ company（表“陪伴、同伴”），动词，表“陪伴、陪同”。
⊙ dependent	♠adj. 依靠的, 依赖的		=►  depend（动词，表“依赖、依靠”，“de-”表“向下”+“pend”表“悬挂”，字面“悬挂于……之上”）+ -ent（形容词/名词后缀，表“……的；人”），可作形容词（依赖的）或名词（受抚养者）。
⊙ propose	♠v. 提议; 打算; 向…求婚		=►  pro-（表“向前、提出”）+ pose（表“放置、摆放”，源于拉丁语“ponere”），动词，表“提议、求婚”。
⊙ engagement	♠n. 婚约; 约定		=►  engage（动词，表“参与、订婚”，“en-”表“使……”+“gage”表“承诺、担保”）+ -ment（名词后缀，表“行为或状态”），名词，表“订婚、约定”。
⊙ marry	♠v. 结婚, 娶, 嫁		=►  （源自古法语“marier”，表“结婚”，属外来借词，无典型词缀），动词，表“结婚、嫁/娶”。
⊙ wedding	♠n. 婚礼		=►  wed（动词，表“结婚”，源自古英语“weddian”）+ -ing（名词后缀，表“行为或相关事物”），名词，表“婚礼”。
⊙ honeymoon	♠n. 蜜月		=►  honey（表“蜂蜜”，象征甜蜜）+ moon（表“月亮”，象征一个月周期），属复合词，无典型词缀，名词，表“蜜月”。
⊙ kiss	♠v. 吻, 接吻 n. 吻		=►  （源自古英语“cyssan”，拟声词，模拟亲吻声，属原生词，无典型词缀），可作动词（亲吻）或名词（吻）。
⊙ divorce	♠n. 离婚; 脱离 v. 离婚; 使脱离		=►  （源于拉丁语“divortium”，表“分离、离婚”，属外来借词，无典型词缀），可作动词（离婚）或名词（离婚）。
⊙ separate	♠adj. 分开的, 单独的 v. 分开; 分居		=►  se-（表“分开、分离”）+ parate（源于拉丁语“parare”，表“准备、安排”，字面“分开安排”），可作形容词（分开的）或动词（分离）。
⊙ single	♠adj. 单一的; 单身的		=►  （源于拉丁语“singulus”，表“单个的”，属外来借词，无典型词缀），可作形容词（单一的、单身的）或名词（单身者）。
⊙ sole	♠adj. 仅有的, 唯一的		=►  （源于拉丁语“solus”，表“单独的、唯一的”，属外来借词，无典型词缀），可作形容词（唯一的、单独的）或名词（鞋底）。
⊙ respective	♠adj. 各自的, 分别的		=►  respect（动词/名词，表“尊重、方面”，“re-”表“回”+“spect”表“看”）+ -ive（形容词后缀，表“……的”），形容词，表“各自的、分别的”。
⊙ each	♠pron. 各个, 各自 det. 各, 每		=►  （源自古英语“ælc”，表“每个、各自”，属原生词，无典型词缀），形容词/代词，表“每个、各自”。
⊙ individual	♠n. 个人; 个体 adj. 个别的, 单独的		=►  in-（表“不、无”）+ divid-（源于拉丁语“dividere”，表“分割”）+ -ual（形容词/名词后缀，表“……的；人”），可作形容词（个体的）或名词（个人）。
⊙ commuter	♠n. 上下班往返者, 通勤者		=►  commute（动词，表“通勤、换乘”，“com-”表“共同”+“mute”表“改变”）+ -er（名词后缀，表“人”），名词，表“通勤者”。
⊙ neighbourhood	♠n. 社区; 居住区; 周边地区		=►  neighbour（表“邻居”，源自古英语“neahgebur”）+ -hood（名词后缀，表“范围、状态”），名词，表“街区、邻里”。
⊙ member	♠n. 成员; 会员		=►  （源于拉丁语“membrum”，表“肢体、成员”，属外来借词，无典型词缀），名词，表“成员、会员”。
⊙ boss	♠n. 老板, 上司 v. 对…指手画脚		=►  （可能源自荷兰语“baas”，表“主人、老板”，属外来借词，无典型词缀），名词，表“老板、上司”。
⊙ manager	♠n. 经理, 管理人		=►  manage（动词，表“管理、经营”，“man-”=手+“age”表“行动”）+ -er（名词后缀，表“人”），名词，表“经理、管理者”。
⊙ supervisor	♠n. 管理者, 监督者		=►  supervise（动词，表“监督、管理”，“super-”表“在……之上”+“vise”=vis表“看”）+ -or（名词后缀，表“人”），名词，表“主管、监督者”。
⊙ subordinate	♠n. 部属, 下级 adj. 次要的; 下级的		=►  sub-（表“在……之下、从属”）+ ordin-（源于拉丁语“ordo”，表“顺序、等级”）+ -ate（形容词/名词后缀，表“……的；人”），可作形容词（从属的）或名词（下属）。
⊙ partner	♠n. 伙伴, 盟友; 合伙人; 搭档		=►  part（表“部分、角色”）+ -ner（名词后缀，表“人”，由“-er”变形而来），名词，表“伙伴、合伙人”。
⊙ mate	♠n. 伙伴; 同伴		=►  （源自古英语“gemate”，表“同伴、配偶”，属原生词，无典型词缀），可作名词（伙伴、配偶）或动词（配对）。
